arm,clock,eps,warmup,mean_steps,min_steps,max_steps,n_fired,FAD,mean_wall_s,tau_final_mean,tau_max_est_mean
nostop,none,,,49,49,49,0,1183.97,0.032,,
frozen_eps0.5,frozen,0.5,,41,41,41,16,857.62,0.052,,
frozen_eps1.0,frozen,1.0,,37,37,37,16,882.81,0.047,,
dyn_eps0.001_wu3,dyn,0.001,3,2,2,2,16,267.25,0.004,45.9282,45.9282
dyn_eps0.001_wu5,dyn,0.001,5,4,4,4,16,334.43,0.006,80.2694,80.2694
dyn_eps0.001_wu10,dyn,0.001,10,9,9,9,16,1158.01,0.013,109.4566,109.4566
dyn_eps0.01_wu3,dyn,0.01,3,2,2,2,16,267.25,0.004,45.9282,45.9282
dyn_eps0.01_wu5,dyn,0.01,5,4,4,4,16,334.43,0.006,80.2694,80.2694
dyn_eps0.01_wu10,dyn,0.01,10,9,9,9,16,1158.01,0.013,109.4566,109.4566
dyn_eps0.1_wu3,dyn,0.1,3,2,2,2,16,267.25,0.004,45.9282,45.9282
dyn_eps0.1_wu5,dyn,0.1,5,4,4,4,16,334.43,0.006,80.2694,80.2694
dyn_eps0.1_wu10,dyn,0.1,10,9,9,9,16,1158.01,0.013,109.4566,109.4566
dyn_eps0.5_wu3,dyn,0.5,3,2,2,2,16,267.25,0.004,45.9282,45.9282
dyn_eps0.5_wu5,dyn,0.5,5,4,4,4,16,334.43,0.006,80.2694,80.2694
dyn_eps0.5_wu10,dyn,0.5,10,9,9,9,16,1158.01,0.013,109.4566,109.4566
dyn_eps1_wu3,dyn,1.0,3,2,2,2,16,267.25,0.004,45.9282,45.9282
dyn_eps1_wu5,dyn,1.0,5,4,4,4,16,334.43,0.006,80.2694,80.2694
dyn_eps1_wu10,dyn,1.0,10,9,9,9,16,1158.01,0.013,109.4566,109.4566
