k,e_orig,e_recon,retention,cosine,split,decoder
0,0.8206667304039001,0.8087438344955444,0.9854717254638672,0.9991497993469238,train,graph
1,0.013431197963654995,0.028496168553829193,2.121640205383301,0.9991497993469238,train,graph
2,0.054842639714479446,0.04448916018009186,0.811214804649353,0.9991497993469238,train,graph
3,0.0014352648286148906,0.0024958590511232615,1.738953709602356,0.9991497993469238,train,graph
4,0.09272067248821259,0.10705802589654922,1.1546294689178467,0.9991497993469238,train,graph
5,0.010235299356281757,0.0031601949594914913,0.3087545335292816,0.9991497993469238,train,graph
6,0.0059270234778523445,0.0038993393536657095,0.6578916907310486,0.9991497993469238,train,graph
7,0.0007411915576085448,0.0016574353212490678,2.2361767292022705,0.9991497993469238,train,graph
0,0.8208349347114563,0.7944294214248657,0.9678308963775635,0.9985288191925396,train,baseline
1,0.01333108451217413,0.0398700088262558,2.990755081176758,0.9985288191925396,train,baseline
2,0.0547017902135849,0.04209358990192413,0.7695102691650391,0.9985288191925396,train,baseline
3,0.0014284058706834912,0.003456377424299717,2.4197447299957275,0.9985288191925396,train,baseline
4,0.09297316521406174,0.1099608838558197,1.1827163696289062,0.9985288191925396,train,baseline
5,0.010082514956593513,0.003299339907243848,0.32723382115364075,0.9985288191925396,train,baseline
6,0.005903163459151983,0.00523734837770462,0.887210488319397,0.9985288191925396,train,baseline
7,0.0007450227276422083,0.0016530293505638838,2.218763589859009,0.9985288191925396,train,baseline
0,0.8191283941268921,0.8056809306144714,0.9835832118988037,0.9992039203643799,val,graph
1,0.01582338474690914,0.0315028578042984,1.9909051656723022,0.9992039203643799,val,graph
2,0.053463488817214966,0.04385489970445633,0.8202775716781616,0.9992039203643799,val,graph
3,0.0017419923096895218,0.002819717861711979,1.6186741590499878,0.9992039203643799,val,graph
4,0.09463703632354736,0.10742528736591339,1.135129451751709,0.9992039203643799,val,graph
5,0.009058373048901558,0.002984085585922003,0.32942843437194824,0.9992039203643799,val,graph
6,0.005269196815788746,0.004111467394977808,0.780283510684967,0.9992039203643799,val,graph
7,0.00087816669838503,0.0016208210727199912,1.8456872701644897,0.9992039203643799,val,graph
0,0.8191283941268921,0.7931191325187683,0.968247652053833,0.998706865310669,val,baseline
1,0.01582338474690914,0.04090804234147072,2.5852901935577393,0.998706865310669,val,baseline
2,0.053463488817214966,0.041936539113521576,0.7843958735466003,0.998706865310669,val,baseline
3,0.0017419923096895218,0.003573720110580325,2.051513195037842,0.998706865310669,val,baseline
4,0.09463703632354736,0.11016304790973663,1.1640585660934448,0.998706865310669,val,baseline
5,0.009058373048901558,0.0034928969107568264,0.38559871912002563,0.998706865310669,val,baseline
6,0.005269196815788746,0.005194890312850475,0.985897958278656,0.998706865310669,val,baseline
7,0.00087816669838503,0.0016117453342303634,1.8353524208068848,0.998706865310669,val,baseline
0,0.8208644986152649,0.8059811592102051,0.9818686842918396,0.9990829467773438,test,graph
1,0.014070223085582256,0.030958574265241623,2.2002902030944824,0.9990829467773438,test,graph
2,0.053217459470033646,0.0442444309592247,0.8313893675804138,0.9990829467773438,test,graph
3,0.0016111026052385569,0.002774822060018778,1.7223124504089355,0.9990829467773438,test,graph
4,0.09399763494729996,0.10751296579837799,1.143783688545227,0.9990829467773438,test,graph
5,0.009900577366352081,0.0028138558845967054,0.28421127796173096,0.9990829467773438,test,graph
6,0.005590691231191158,0.004094141535460949,0.7323139905929565,0.9990829467773438,test,graph
7,0.0007478194893337786,0.0016200533136725426,2.1663694381713867,0.9990829467773438,test,graph
0,0.8208644986152649,0.7921169996261597,0.9649789929389954,0.9984438061714173,test,baseline
1,0.014070223085582256,0.04224308207631111,3.0023036003112793,0.9984438061714173,test,baseline
2,0.053217459470033646,0.04175419732928276,0.7845958471298218,0.9984438061714173,test,baseline
3,0.0016111026052385569,0.0037225019186735153,2.310530662536621,0.9984438061714173,test,baseline
4,0.09399763494729996,0.11011455208063126,1.1714608669281006,0.9984438061714173,test,baseline
5,0.009900577366352081,0.003106597810983658,0.31377947330474854,0.9984438061714173,test,baseline
6,0.005590691231191158,0.005303683690726757,0.9486632943153381,0.9984438061714173,test,baseline
7,0.0007478194893337786,0.0016383820911869407,2.1908791065216064,0.9984438061714173,test,baseline
